type,title,release_year,rating,listed_in,movie_duration,series_duration,cluster,sub_cluster
Movie,Jaws: The Revenge,1987,PG-13,"Action & Adventure, Horror Movies, Thrillers",91.0,0,1,1.0
Movie,My Heroes Were Cowboys,2021,PG,Documentaries,23.0,0,2,18.0
Movie,Safe House,2012,R,Action & Adventure,115.0,0,2,11.0
TV Show,The Smart Money Woman,2020,TV-MA,"International TV Shows, Romantic TV Shows, TV Comedies",0.0,1,3,15.0
Movie,Training Day,2001,R,"Dramas, Thrillers",122.0,0,1,1.0
TV Show,Castle and Castle,2021,TV-MA,"International TV Shows, TV Dramas",0.0,2,3,2.0
TV Show,Dharmakshetra,2014,TV-PG,"International TV Shows, TV Dramas, TV Sci-Fi & Fantasy",0.0,1,3,0.0
Movie,InuYasha the Movie 2: The Castle Beyond the Looking Glass,2002,TV-14,"Action & Adventure, Anime Features, International Movies",99.0,0,1,1.0
Movie,InuYasha the Movie 3: Swords of an Honorable Ruler,2003,TV-14,"Action & Adventure, Anime Features, International Movies",99.0,0,2,0.0
Movie,InuYasha the Movie 4: Fire on the Mystic Island,2004,TV-PG,"Action & Adventure, Anime Features, International Movies",88.0,0,2,1.0
Movie,InuYasha the Movie: Affections Touching Across Time,2001,TV-PG,"Action & Adventure, Anime Features, International Movies",100.0,0,1,1.0
TV Show,Nailed It,2021,TV-PG,Reality TV,0.0,6,0,0.0
Movie,Naruto Shippuden the Movie: Blood Prison,2011,TV-14,"Action & Adventure, Anime Features, International Movies",102.0,0,2,0.0
Movie,Naruto Shippûden the Movie: Bonds,2008,TV-PG,"Action & Adventure, Anime Features, International Movies",93.0,0,2,1.0
Movie,Naruto Shippûden the Movie: The Will of Fire,2009,TV-PG,"Action & Adventure, Anime Features, International Movies",96.0,0,2,1.0
Movie,Naruto Shippuden: The Movie,2007,TV-PG,"Action & Adventure, Anime Features, International Movies",95.0,0,2,1.0
Movie,Naruto Shippuden: The Movie: The Lost Tower,2010,TV-14,"Action & Adventure, Anime Features, International Movies",85.0,0,2,0.0
Movie,Naruto the Movie 2: Legend of the Stone of Gelel,2005,TV-PG,"Action & Adventure, Anime Features, International Movies",97.0,0,2,1.0
Movie,Naruto the Movie 3: Guardians of the Crescent Moon Kingdom,2006,TV-PG,"Action & Adventure, Anime Features, International Movies",95.0,0,2,1.0
Movie,Naruto the Movie: Ninja Clash in the Land of Snow,2004,TV-PG,"Action & Adventure, Anime Features, International Movies",83.0,0,2,1.0
Movie,Nightbooks,2021,TV-PG,Children & Family Movies,103.0,0,2,2.0
TV Show,Numberblocks,2021,TV-Y,Kids' TV,0.0,6,0,0.0
TV Show,Raja Rasoi Aur Anya Kahaniyan,2014,TV-G,"Docuseries, International TV Shows",0.0,1,3,7.0
TV Show,Saved by the Bell,1994,TV-PG,"Kids' TV, TV Comedies",0.0,9,0,1.0
Movie,Schumacher,2021,TV-14,"Documentaries, International Movies, Sports Movies",113.0,0,2,12.0
TV Show,Stories by Rabindranath Tagore,2015,TV-PG,"International TV Shows, TV Dramas",0.0,1,3,0.0
TV Show,Too Hot To Handle: Latino,2021,TV-MA,"International TV Shows, Reality TV, Romantic TV Shows",0.0,1,3,5.0
Movie,A StoryBots Space Adventure,2021,TV-Y,Children & Family Movies,13.0,0,2,16.0
TV Show,Jack Whitehall: Travels with My Father,2021,TV-MA,"British TV Shows, Docuseries, International TV Shows",0.0,5,0,0.0
Movie,King of Boys,2018,TV-MA,"Dramas, International Movies",182.0,0,2,7.0
TV Show,The World's Most Amazing Vacation Rentals,2021,TV-PG,Reality TV,0.0,2,3,5.0
Movie,You vs. Wild: Out Cold,2021,TV-G,Children & Family Movies,106.0,0,2,2.0
TV Show,Yowamushi Pedal,2013,TV-14,"Anime Series, International TV Shows",0.0,1,3,9.0
Movie,Little Singham - Black Shadow,2021,TV-Y7,"Children & Family Movies, Comedies",48.0,0,2,16.0
Movie,Tughlaq Durbar,2020,TV-14,"Comedies, Dramas, International Movies",145.0,0,2,4.0
Movie,Tughlaq Durbar (Telugu),2021,TV-14,"Comedies, Dramas, International Movies",145.0,0,2,4.0
Movie,Firedrake the Silver Dragon,2021,TV-Y7,Children & Family Movies,93.0,0,2,16.0
Movie,Kate,2021,R,Action & Adventure,106.0,0,2,11.0
TV Show,Lucifer,2021,TV-14,"Crime TV Shows, TV Comedies, TV Dramas",0.0,6,0,0.0
TV Show,Metal Shop Masters,2021,TV-MA,Reality TV,0.0,1,3,5.0
Movie,Omo Ghetto: the Saga,2020,TV-MA,"Action & Adventure, Comedies, Dramas",147.0,0,2,3.0
TV Show,Pokémon Master Journeys: The Series,2021,TV-Y7,"Anime Series, Kids' TV",0.0,1,3,13.0
Movie,Prey,2021,TV-MA,"International Movies, Thrillers",87.0,0,2,13.0
TV Show,Titipo Titipo,2019,TV-Y,"Kids' TV, Korean TV Shows",0.0,2,3,4.0
Movie,Blood Brothers: Malcolm X & Muhammad Ali,2021,PG-13,"Documentaries, Sports Movies",96.0,0,2,18.0
TV Show,Mighty Raju,2017,TV-Y7,Kids' TV,0.0,4,0,0.0
Movie,Paradise Hills,2019,TV-MA,"Sci-Fi & Fantasy, Thrillers",95.0,0,2,13.0
Movie,The Women and the Murderer,2021,TV-14,"Documentaries, International Movies",92.0,0,2,12.0
TV Show,Into the Night,2021,TV-MA,"International TV Shows, TV Dramas, TV Mysteries",0.0,2,3,1.0
Movie,JJ+E,2021,TV-MA,"Dramas, International Movies, Romantic Movies",91.0,0,2,7.0
Movie,Show Dogs,2018,PG,"Children & Family Movies, Comedies",90.0,0,2,2.0
TV Show,The Circle,2021,TV-MA,Reality TV,0.0,3,3,16.0
Movie,If I Leave Here Tomorrow: A Film About Lynyrd Skynyrd,2018,TV-MA,"Documentaries, Music & Musicals",97.0,0,2,17.0
TV Show,Kid Cosmic,2021,TV-Y7,"Kids' TV, TV Comedies, TV Sci-Fi & Fantasy",0.0,2,3,13.0
TV Show,Octonauts: Above & Beyond,2021,TV-Y,"British TV Shows, Kids' TV",0.0,1,3,4.0
TV Show,On the Verge,2021,TV-MA,"TV Comedies, TV Dramas",0.0,1,3,15.0
TV Show,Tobot Galaxy Detectives,2019,TV-Y7,Kids' TV,0.0,2,3,13.0
Movie,Untold: Breaking Point,2021,TV-MA,"Documentaries, Sports Movies",80.0,0,2,17.0
TV Show,Countdown: Inspiration4 Mission to Space,2021,TV-14,"Docuseries, Science & Nature TV",0.0,1,3,6.0
Movie,Shadow Parties,2020,TV-MA,"Dramas, International Movies, Thrillers",117.0,0,2,7.0
TV Show,Tayo the Little Bus,2016,TV-Y,"Kids' TV, Korean TV Shows",0.0,2,3,4.0
Movie,Angamaly Diaries,2017,TV-14,"Action & Adventure, Comedies, Dramas",128.0,0,2,4.0
TV Show,Bunk'd,2021,TV-G,"Kids' TV, TV Comedies",0.0,5,0,0.0
Movie,A Champion Heart,2018,G,"Children & Family Movies, Dramas",90.0,0,2,16.0
TV Show,Dive Club,2021,TV-G,"Kids' TV, TV Dramas, Teen TV Shows",0.0,1,3,13.0
TV Show,La casa de papel,2021,TV-MA,"Crime TV Shows, International TV Shows, Spanish-Language TV Shows",0.0,5,0,0.0
TV Show,Money Heist: From Tokyo to Berlin,2021,TV-MA,"Docuseries, International TV Shows, Spanish-Language TV Shows",0.0,1,3,14.0
TV Show,Sharkdog,2021,TV-Y,Kids' TV,0.0,1,3,4.0
Movie,Worth,2021,PG-13,Dramas,119.0,0,2,9.0
Movie,Afterlife of the Party,2021,TV-PG,"Comedies, Romantic Movies",110.0,0,2,1.0
Movie,Anjaam,1994,TV-14,"Dramas, International Movies, Thrillers",143.0,0,1,1.0
Movie,Bright Star,2009,PG,"Dramas, Romantic Movies",119.0,0,2,9.0
Movie,Dhanak,2015,TV-PG,"Comedies, Dramas, Independent Movies",114.0,0,2,1.0
Movie,Final Account,2021,PG-13,Documentaries,94.0,0,2,18.0
Movie,Gurgaon,2017,TV-14,"Dramas, International Movies, Thrillers",106.0,0,2,15.0
Movie,Here and There,2020,TV-MA,"Dramas, International Movies, Romantic Movies",99.0,0,2,7.0
TV Show,Heroes of Goo Jit Zu,2021,TV-Y7,"Kids' TV, TV Comedies",0.0,1,3,13.0
TV Show,Hotel Del Luna,2019,TV-14,"International TV Shows, Romantic TV Shows, TV Comedies",0.0,1,3,17.0
Movie,In the Cut,2003,R,Thrillers,118.0,0,2,11.0
TV Show,Luv Kushh,2012,TV-Y7,Kids' TV,0.0,1,3,13.0
TV Show,Pororo - The Little Penguin,2013,TV-Y7,"Kids' TV, Korean TV Shows",0.0,3,3,13.0
TV Show,Q-Force,2021,TV-MA,"Crime TV Shows, TV Action & Adventure, TV Comedies",0.0,1,3,15.0
Movie,Shikara,2020,TV-14,"Dramas, International Movies, Romantic Movies",115.0,0,2,15.0
Movie,A Cinderella Story,2004,PG,"Children & Family Movies, Comedies",95.0,0,2,2.0
Movie,Agatha Christie's Crooked House,2017,PG-13,"Dramas, International Movies, Thrillers",115.0,0,2,9.0
Movie,An Unfinished Life,2005,PG-13,Dramas,108.0,0,2,9.0
Movie,Barbie Big City Big Dreams,2021,TV-Y,"Children & Family Movies, Music & Musicals",63.0,0,2,16.0
Movie,Blade Runner: The Final Cut,1982,R,"Action & Adventure, Classic Movies, Cult Movies",117.0,0,1,0.0
TV Show,Brave Animated Series,2021,TV-MA,"International TV Shows, TV Action & Adventure, TV Comedies",0.0,1,3,15.0
Movie,Chappie,2015,R,"Action & Adventure, Sci-Fi & Fantasy",121.0,0,2,11.0
Movie,Clear and Present Danger,1994,PG-13,"Action & Adventure, Dramas",142.0,0,1,1.0
Movie,Cliffhanger,1993,R,Action & Adventure,113.0,0,1,1.0
Movie,Cold Mountain,2003,R,"Dramas, Romantic Movies",154.0,0,1,1.0
Movie,Crocodile Dundee in Los Angeles,2001,PG,"Action & Adventure, Comedies",95.0,0,1,1.0
Movie,Dear John,2010,PG-13,"Dramas, Romantic Movies",108.0,0,2,9.0
Movie,Do the Right Thing,1989,R,"Classic Movies, Comedies, Dramas",120.0,0,1,1.0
Movie,"El patrón, radiografía de un crimen",2014,TV-MA,"Dramas, International Movies, Thrillers",100.0,0,2,7.0
Movie,Extraction,2015,R,Action & Adventure,82.0,0,2,11.0
Movie,Freedom Writers,2007,PG-13,Dramas,124.0,0,2,9.0
Movie,Green Lantern,2011,PG-13,"Action & Adventure, Sci-Fi & Fantasy",114.0,0,2,14.0
Movie,House Party,1990,R,"Comedies, Cult Movies",104.0,0,1,1.0
Movie,House Party 2,1991,R,"Comedies, Cult Movies, Music & Musicals",94.0,0,1,1.0
Movie,House Party 3,1994,R,"Comedies, Music & Musicals",94.0,0,1,1.0
TV Show,How to Be a Cowboy,2021,TV-PG,Reality TV,0.0,1,3,5.0
TV Show,HQ Barbers,2020,TV-14,TV Shows,0.0,1,3,6.0
Movie,I Got the Hook Up,1998,R,"Action & Adventure, Comedies",93.0,0,1,1.0
Movie,In Too Deep,1999,R,Thrillers,97.0,0,1,1.0
Movie,Initial D,2005,TV-14,"Action & Adventure, International Movies",109.0,0,2,0.0
Movie,Janoskians: Untold and Untrue,2016,TV-MA,Comedies,88.0,0,2,6.0
TV Show,Kid-E-Cats,2016,TV-Y,Kids' TV,0.0,2,3,4.0
TV Show,Kuroko's Basketball,2015,TV-MA,"Anime Series, International TV Shows, Teen TV Shows",0.0,3,3,16.0
Movie,Labyrinth,1986,PG,"Action & Adventure, Children & Family Movies, Cult Movies",101.0,0,1,1.0
Movie,Letters to Juliet,2010,PG,"Comedies, Dramas, Romantic Movies",105.0,0,2,2.0
Movie,Level 16,2018,TV-14,"Sci-Fi & Fantasy, Thrillers",102.0,0,2,0.0
Movie,Love Don't Cost a Thing,2003,PG-13,"Comedies, Romantic Movies",101.0,0,2,14.0
Movie,Love in a Puff,2010,TV-MA,"Comedies, Dramas, International Movies",103.0,0,2,7.0
TV Show,Major Dad,1992,TV-PG,TV Comedies,0.0,4,0,0.0
Movie,Mars Attacks!,1996,PG-13,"Comedies, Cult Movies, Sci-Fi & Fantasy",106.0,0,1,1.0
Movie,Marshall,2017,PG-13,Dramas,118.0,0,2,9.0
Movie,My Boss's Daughter,2003,R,"Comedies, Romantic Movies",86.0,0,2,11.0
Movie,Mystery Men,1999,PG-13,"Action & Adventure, Comedies",121.0,0,1,1.0
TV Show,Oldsters,2019,TV-MA,"Crime TV Shows, International TV Shows, Spanish-Language TV Shows",0.0,1,3,11.0
Movie,Once Upon a Time in America,1984,R,"Classic Movies, Dramas",229.0,0,1,0.0
Movie,Open Season 2,2008,PG,"Children & Family Movies, Comedies",76.0,0,2,2.0
Movie,Osmosis Jones,2001,PG,"Action & Adventure, Children & Family Movies, Comedies",95.0,0,1,1.0
Movie,Poseidon,2006,PG-13,"Action & Adventure, Dramas",98.0,0,2,9.0
Movie,Rhyme & Reason,1997,R,"Documentaries, Music & Musicals",89.0,0,1,1.0
Movie,Same Kind of Different as Me,2017,PG-13,"Dramas, Faith & Spirituality",120.0,0,2,9.0
Movie,School of Rock,2003,PG-13,"Comedies, Music & Musicals",110.0,0,2,14.0
Movie,Snervous Tyler Oakley,2015,PG-13,"Documentaries, LGBTQ Movies",83.0,0,2,18.0
Movie,Tears of the Sun,2003,R,"Action & Adventure, Dramas",121.0,0,1,1.0
Movie,The Blue Lagoon,1980,R,"Dramas, Romantic Movies",105.0,0,1,0.0
Movie,The Golden Child,1986,PG-13,"Action & Adventure, Comedies",94.0,0,1,1.0
Movie,The Guns of Navarone,1961,TV-14,"Action & Adventure, Classic Movies",156.0,0,1,0.0
Movie,The Interview,2014,R,"Action & Adventure, Comedies",112.0,0,2,11.0
Movie,The Nutty Professor,1996,PG-13,"Comedies, Romantic Movies",95.0,0,1,1.0
Movie,The Nutty Professor II: The Klumps,2000,PG-13,"Comedies, Romantic Movies",107.0,0,1,1.0
TV Show,Turning Point: 9/11 and the War on Terror,2021,TV-14,Docuseries,0.0,1,3,6.0
Movie,Welcome Home Roscoe Jenkins,2008,PG-13,Comedies,114.0,0,2,14.0
Movie,In the Line of Fire,1993,R,"Action & Adventure, Classic Movies",129.0,0,1,1.0
TV Show,Sparking Joy,2021,TV-PG,Reality TV,0.0,1,3,5.0
Movie,Untold: Crime & Penalties,2021,TV-MA,"Documentaries, Sports Movies",86.0,0,2,17.0
TV Show,Hometown Cha-Cha-Cha,2021,TV-14,"International TV Shows, Romantic TV Shows, TV Comedies",0.0,1,3,17.0
TV Show,The Ingenuity of the Househusband,2021,TV-G,"International TV Shows, TV Comedies",0.0,1,3,15.0
Movie,2 Alone in Paris,2008,TV-MA,"Comedies, International Movies",97.0,0,2,6.0
TV Show,Bread Barbershop,2020,TV-Y,"Kids' TV, TV Comedies",0.0,2,3,4.0
Movie,Thimmarusu,2021,TV-14,"Dramas, International Movies",125.0,0,2,15.0
Movie,Wind River,2017,R,"Dramas, Independent Movies",107.0,0,2,10.0
Movie,C Kkompany,2008,TV-14,"Action & Adventure, Comedies, International Movies",127.0,0,2,4.0
TV Show,D.P.,2021,TV-MA,"International TV Shows, TV Dramas",0.0,1,3,2.0
TV Show,Deadly Sins,2002,TV-MA,"International TV Shows, Spanish-Language TV Shows, TV Dramas",0.0,1,3,18.0
Movie,EMI: Liya Hai To Chukana Padega,2008,TV-14,"Comedies, Dramas, International Movies",128.0,0,2,4.0
Movie,He's All That,2021,TV-14,"Comedies, Romantic Movies",92.0,0,2,4.0
TV Show,I Heart Arlo,2021,TV-Y7,"Kids' TV, TV Comedies",0.0,1,3,13.0
TV Show,King of Boys: The Return of the King,2021,TV-MA,"Crime TV Shows, International TV Shows, TV Dramas",0.0,1,3,2.0
Movie,Koi Aap Sa,2006,TV-14,"Comedies, Dramas, International Movies",135.0,0,2,4.0
Movie,Krishna Cottage,2004,TV-14,"Action & Adventure, Horror Movies, International Movies",124.0,0,2,0.0
Movie,Kucch To Hai,2003,TV-14,"Dramas, International Movies, Thrillers",136.0,0,2,15.0
Movie,Kyaa Kool Hai Hum,2005,TV-MA,"Comedies, International Movies, Music & Musicals",165.0,0,2,6.0
Movie,Kyaa Kool Hain Hum 3,2016,TV-MA,"Comedies, International Movies",124.0,0,2,6.0
Movie,Kyaa Super Kool Hain Hum,2012,TV-MA,"Comedies, International Movies",136.0,0,2,6.0
Movie,Kyo Kii... Main Jhuth Nahin Bolta,2001,TV-14,"Comedies, International Movies, Sci-Fi & Fantasy",150.0,0,1,1.0
Movie,"LSD: Love, Sex Aur Dhokha",2010,TV-MA,"Dramas, Independent Movies, International Movies",112.0,0,2,7.0
Movie,Mission Istaanbul: Darr Ke Aagey Jeet Hai,2008,TV-14,"Action & Adventure, International Movies, Music & Musicals",119.0,0,2,0.0
Movie,Once Upon a Time in Mumbaai,2010,TV-14,"Dramas, International Movies, Music & Musicals",133.0,0,2,15.0
Movie,Once Upon a Time in Mumbai Dobaara!,2013,TV-14,"Dramas, International Movies, Music & Musicals",142.0,0,2,15.0
Movie,Ragini MMS,2011,TV-MA,"Horror Movies, International Movies",93.0,0,2,13.0
Movie,Ragini MMS 2,2014,TV-MA,"Horror Movies, International Movies",113.0,0,2,13.0
TV Show,Rebellion,2016,TV-MA,"International TV Shows, TV Dramas",0.0,2,3,2.0
TV Show,RIDE ON TIME,2021,TV-PG,"Docuseries, International TV Shows",0.0,3,3,8.0
Movie,SAS: Rise of the Black Swan,2021,R,"Action & Adventure, International Movies",124.0,0,2,11.0
Movie,Shootout at Lokhandwala,2007,TV-MA,"Action & Adventure, Dramas, International Movies",116.0,0,2,7.0
Movie,Shor In the City,2011,TV-14,"Comedies, Dramas, Independent Movies",106.0,0,2,4.0
Movie,The Dirty Picture,2011,TV-14,"Comedies, Dramas, International Movies",145.0,0,2,4.0
TV Show,Titletown High,2021,TV-14,"Reality TV, Teen TV Shows",0.0,1,3,5.0
TV Show,EDENS ZERO,2021,TV-14,"Anime Series, International TV Shows",0.0,1,3,9.0
TV Show,Family Reunion,2021,TV-PG,"Kids' TV, TV Comedies",0.0,4,0,0.0
Movie,"Bob Ross: Happy Accidents, Betrayal & Greed",2021,TV-14,Documentaries,93.0,0,2,12.0
TV Show,Clickbait,2021,TV-MA,"Crime TV Shows, TV Dramas, TV Mysteries",0.0,1,3,1.0
TV Show,John of God: The Crimes of a Spiritual Healer,2021,TV-MA,"Crime TV Shows, Docuseries, International TV Shows",0.0,1,3,14.0
TV Show,Motel Makeover,2021,TV-14,"International TV Shows, Reality TV",0.0,1,3,5.0
TV Show,Open Your Eyes,2021,TV-MA,"International TV Shows, TV Dramas, TV Mysteries",0.0,1,3,1.0
TV Show,Post Mortem: No One Dies in Skarnes,2021,TV-MA,"International TV Shows, TV Comedies, TV Dramas",0.0,1,3,2.0
Movie,Really Love,2020,TV-MA,"Dramas, Independent Movies, Romantic Movies",95.0,0,2,3.0
Movie,The November Man,2014,R,Action & Adventure,108.0,0,2,11.0
Movie,The Old Ways,2020,TV-MA,Horror Movies,90.0,0,2,13.0
Movie,The River Runner,2021,TV-MA,"Documentaries, Sports Movies",86.0,0,2,17.0
Movie,The Water Man,2021,PG,"Children & Family Movies, Dramas",92.0,0,2,2.0
TV Show,Wheel of Fortune,2019,TV-G,Reality TV,0.0,3,3,8.0
Movie,Count Me In,2021,TV-MA,"Documentaries, Music & Musicals",82.0,0,2,17.0
TV Show,Oggy Oggy,2021,TV-Y,"Kids' TV, TV Comedies",0.0,1,3,4.0
Movie,Untold: Caitlyn Jenner,2021,TV-PG,"Documentaries, LGBTQ Movies, Sports Movies",70.0,0,2,8.0
Movie,Boomika,2021,TV-14,"Horror Movies, International Movies, Thrillers",122.0,0,2,0.0
Movie,Boomika (Hindi),2021,TV-14,"Horror Movies, International Movies, Thrillers",122.0,0,2,0.0
Movie,Boomika (Malayalam),2021,TV-14,"Horror Movies, International Movies, Thrillers",122.0,0,2,0.0
Movie,Boomika (Telugu),2021,TV-14,"Horror Movies, International Movies, Thrillers",122.0,0,2,0.0
Movie,The Witcher: Nightmare of the Wolf,2021,TV-MA,"Action & Adventure, Anime Features",84.0,0,2,13.0
TV Show,Manifest,2021,TV-14,"TV Dramas, TV Mysteries, TV Sci-Fi & Fantasy",0.0,3,3,8.0
TV Show,Comedy Premium League,2021,TV-MA,"International TV Shows, TV Comedies",0.0,1,3,15.0
TV Show,Everything Will Be Fine,2021,TV-MA,"International TV Shows, Spanish-Language TV Shows, TV Comedies",0.0,1,3,15.0
Movie,Gunshot,2018,TV-14,"Dramas, International Movies, Thrillers",96.0,0,2,15.0
TV Show,Korean Cold Noodle Rhapsody,2021,TV-PG,"Docuseries, International TV Shows",0.0,1,3,7.0
Movie,Man in Love,2021,TV-MA,"Dramas, International Movies, Romantic Movies",115.0,0,2,7.0
Movie,Sweet Girl,2021,R,"Action & Adventure, Dramas",110.0,0,2,10.0
TV Show,The Chair,2021,TV-MA,"TV Comedies, TV Dramas",0.0,1,3,15.0
Movie,The Loud House Movie,2021,TV-Y7,"Children & Family Movies, Comedies, Music & Musicals",88.0,0,2,16.0
Movie,A Faraway Land,2020,TV-PG,"Dramas, International Movies, Romantic Movies",102.0,0,2,1.0
Movie,Like Crazy,2011,PG-13,"Dramas, Independent Movies, Romantic Movies",91.0,0,2,9.0
Movie,Black Island,2021,TV-MA,"International Movies, Thrillers",105.0,0,2,13.0
Movie,Bombay,1995,TV-14,"Dramas, International Movies, Romantic Movies",135.0,0,1,1.0
TV Show,Go! Go! Cory Carson,2021,TV-Y,Kids' TV,0.0,5,0,0.0
Movie,Memories of a Murderer: The Nilsen Tapes,2021,TV-MA,"Documentaries, International Movies",86.0,0,2,17.0
Movie,Nneka The Pretty Serpent,2020,TV-14,"Dramas, International Movies",140.0,0,2,15.0
Movie,O Kadhal Kanmani,2015,TV-14,"Dramas, International Movies, Romantic Movies",133.0,0,2,15.0
Movie,Out of my league,2020,TV-MA,"Comedies, Dramas, International Movies",92.0,0,2,7.0
Movie,Pahuna,2018,TV-PG,"Comedies, Dramas, International Movies",82.0,0,2,1.0
TV Show,The Defeated,2020,TV-MA,"Crime TV Shows, International TV Shows, TV Dramas",0.0,1,3,2.0
Movie,The Secret Diary of an Exchange Student,2021,TV-14,"Comedies, International Movies, Romantic Movies",97.0,0,2,4.0
Movie,Untold: Deal With the Devil,2021,TV-MA,"Documentaries, LGBTQ Movies, Sports Movies",78.0,0,2,17.0
TV Show,Mother Goose Club,2016,TV-Y,Kids' TV,0.0,2,3,4.0
Movie,Walk of Shame,2014,R,"Comedies, Independent Movies",94.0,0,2,11.0
TV Show,Rascal Does Not Dream of Bunny Girl Senpai,2018,TV-14,"Anime Series, International TV Shows, Romantic TV Shows",0.0,1,3,9.0
TV Show,The Creative Indians,2020,TV-MA,"Docuseries, International TV Shows",0.0,1,3,14.0
Movie,The Piano,1993,R,"Classic Movies, Dramas, Independent Movies",121.0,0,1,1.0
Movie,Unroyal,2020,TV-MA,"Dramas, International Movies",97.0,0,2,7.0
TV Show,Winx Club,2015,TV-Y7,Kids' TV,0.0,2,3,13.0
Movie,Beckett,2021,TV-MA,Action & Adventure,110.0,0,2,13.0
